ADM0_PCODE,ADM0_EN,ADM1_PCODE,ADM1_EN,ADM2_PCODE,ADM2_EN,ADM2_TYPE,ADM3_PCODE,ADM3_EN
MG,Madagascar,MG43,Betsiboka,MG43416,Kandreho,District,MG43416030,Antanimbaribe
MG,Madagascar,MG43,Betsiboka,MG43416,Kandreho,District,MG43416051,Betaimboay
MG,Madagascar,MG43,Betsiboka,MG43416,Kandreho,District,MG43416052,Andasibe
MG,Madagascar,MG44,Melaky,MG44402,Besalampy,District,MG44402050,Soanenga
MG,Madagascar,MG44,Melaky,MG44402,Besalampy,District,MG44402071,Bekodoka
MG,Madagascar,MG44,Melaky,MG44402,Besalampy,District,MG44402072,Ambolodia Sud
MG,Madagascar,MG44,Melaky,MG44402,Besalampy,District,MG44402090,Ankasakasa Tsibiray
MG,Madagascar,MG44,Melaky,MG44402,Besalampy,District,MG44402110,Mahabe
MG,Madagascar,MG44,Melaky,MG44417,Ambatomainty,District,MG44417011,Ambatomainty
MG,Madagascar,MG44,Melaky,MG44417,Ambatomainty,District,MG44417012,Bemarivo
MG,Madagascar,MG44,Melaky,MG44417,Ambatomainty,District,MG44417031,Sarodrano
MG,Madagascar,MG44,Melaky,MG44417,Ambatomainty,District,MG44417032,Marotsialeha
MG,Madagascar,MG44,Melaky,MG44420,Antsalova,District,MG44420010,Antsalova
MG,Madagascar,MG44,Melaky,MG44420,Antsalova,District,MG44420030,Soahany
MG,Madagascar,MG44,Melaky,MG44420,Antsalova,District,MG44420050,Masoarivo
MG,Madagascar,MG44,Melaky,MG44420,Antsalova,District,MG44420070,Trangahy
MG,Madagascar,MG44,Melaky,MG44420,Antsalova,District,MG44420090,Bekopaka
MG,Madagascar,MG44,Melaky,MG44421,Maintirano,District,MG44421010,Maintirano
MG,Madagascar,MG44,Melaky,MG44421,Maintirano,District,MG44421030,Mafaijijo
MG,Madagascar,MG44,Melaky,MG44421,Maintirano,District,MG44421050,Andabotoka
MG,Madagascar,MG44,Melaky,MG44421,Maintirano,District,MG44421070,Betanatanana
MG,Madagascar,MG44,Melaky,MG44421,Maintirano,District,MG44421090,Andrea
MG,Madagascar,MG44,Melaky,MG44421,Maintirano,District,MG44421110,Ankisatra
MG,Madagascar,MG44,Melaky,MG44421,Maintirano,District,MG44421130,Marohazo
MG,Madagascar,MG44,Melaky,MG44421,Maintirano,District,MG44421150,Antsondrodava
MG,Madagascar,MG44,Melaky,MG44421,Maintirano,District,MG44421170,Belitsaky
MG,Madagascar,MG44,Melaky,MG44421,Maintirano,District,MG44421191,Tambohorano
MG,Madagascar,MG44,Melaky,MG44421,Maintirano,District,MG44421192,Veromanga
MG,Madagascar,MG44,Melaky,MG44421,Maintirano,District,MG44421193,Maromavo
MG,Madagascar,MG44,Melaky,MG44421,Maintirano,District,MG44421194,Andranovao
MG,Madagascar,MG44,Melaky,MG44421,Maintirano,District,MG44421210,Antsaidoha Bebao
MG,Madagascar,MG44,Melaky,MG44421,Maintirano,District,MG44421231,Berevo/ranobe
MG,Madagascar,MG44,Melaky,MG44421,Maintirano,District,MG44421232,Bebaboky Sud
MG,Madagascar,MG44,Melaky,MG44421,Maintirano,District,MG44421233,Bemokotra Sud
MG,Madagascar,MG44,Melaky,MG44422,Morafenobe,District,MG44422010,Morafenobe
MG,Madagascar,MG44,Melaky,MG44422,Morafenobe,District,MG44422030,Andramy
MG,Madagascar,MG44,Melaky,MG44422,Morafenobe,District,MG44422050,Beravina
MG,Madagascar,MG51,Atsimo Andrefana,MG51501,Toliary-I,District,MG51501001,Tanambao I
MG,Madagascar,MG51,Atsimo Andrefana,MG51501,Toliary-I,District,MG51501002,Tanambao II Tsf Nord
MG,Madagascar,MG51,Atsimo Andrefana,MG51501,Toliary-I,District,MG51501003,Mahavatse I
MG,Madagascar,MG51,Atsimo Andrefana,MG51501,Toliary-I,District,MG51501004,Mahavatse II
MG,Madagascar,MG51,Atsimo Andrefana,MG51501,Toliary-I,District,MG51501005,Betania
MG,Madagascar,MG51,Atsimo Andrefana,MG51501,Toliary-I,District,MG51501006,Besakoa
MG,Madagascar,MG51,Atsimo Andrefana,MG51503,Beroroha,District,MG51503011,Beroroha
MG,Madagascar,MG51,Atsimo Andrefana,MG51503,Beroroha,District,MG51503012,Bemavo
MG,Madagascar,MG51,Atsimo Andrefana,MG51503,Beroroha,District,MG51503030,Fanjakana
MG,Madagascar,MG51,Atsimo Andrefana,MG51503,Beroroha,District,MG51503050,Behisatsy
MG,Madagascar,MG51,Atsimo Andrefana,MG51503,Beroroha,District,MG51503070,Marerano
MG,Madagascar,MG51,Atsimo Andrefana,MG51504,Morombe,District,MG51504010,Cu Morombe
MG,Madagascar,MG51,Atsimo Andrefana,MG51504,Morombe,District,MG51504030,Befandefa
MG,Madagascar,MG51,Atsimo Andrefana,MG51504,Morombe,District,MG51504050,Ambahikily
MG,Madagascar,MG51,Atsimo Andrefana,MG51504,Morombe,District,MG51504070,Antongo Vaovao
MG,Madagascar,MG51,Atsimo Andrefana,MG51504,Morombe,District,MG51504090,Nosy Ambositra
MG,Madagascar,MG51,Atsimo Andrefana,MG51504,Morombe,District,MG51504110,Befandriana Sud
MG,Madagascar,MG51,Atsimo Andrefana,MG51505,Ankazoabo,District,MG51505012,Fotivolo
MG,Madagascar,MG51,Atsimo Andrefana,MG51505,Ankazoabo,District,MG51505030,Tandrano
MG,Madagascar,MG51,Atsimo Andrefana,MG51505,Ankazoabo,District,MG51505050,Andranomafana
MG,Madagascar,MG51,Atsimo Andrefana,MG51505,Ankazoabo,District,MG51505071,Berenty
MG,Madagascar,MG51,Atsimo Andrefana,MG51505,Ankazoabo,District,MG51505072,Ilemby
MG,Madagascar,MG51,Atsimo Andrefana,MG51506,Betioky Atsimo,District,MG51506011,Betioky Atsimo
MG,Madagascar,MG51,Atsimo Andrefana,MG51506,Betioky Atsimo,District,MG51506012,Sakamasay
MG,Madagascar,MG51,Atsimo Andrefana,MG51506,Betioky Atsimo,District,MG51506013,Ambatry Mitsinjo
MG,Madagascar,MG51,Atsimo Andrefana,MG51506,Betioky Atsimo,District,MG51506014,Ankazomanga Ouest
MG,Madagascar,MG51,Atsimo Andrefana,MG51506,Betioky Atsimo,District,MG51506015,Maroarivo Ankazomanga
MG,Madagascar,MG51,Atsimo Andrefana,MG51506,Betioky Atsimo,District,MG51506030,Beantake
MG,Madagascar,MG51,Atsimo Andrefana,MG51506,Betioky Atsimo,District,MG51506050,Masiaboay
MG,Madagascar,MG51,Atsimo Andrefana,MG51506,Betioky Atsimo,District,MG51506070,Antohabato
MG,Madagascar,MG51,Atsimo Andrefana,MG51506,Betioky Atsimo,District,MG51506090,Tameantsoa
MG,Madagascar,MG51,Atsimo Andrefana,MG51506,Betioky Atsimo,District,MG51506111,Tongobory
MG,Madagascar,MG51,Atsimo Andrefana,MG51506,Betioky Atsimo,District,MG51506112,Besely
MG,Madagascar,MG51,Atsimo Andrefana,MG51506,Betioky Atsimo,District,MG51506113,Vatolatsaka
MG,Madagascar,MG51,Atsimo Andrefana,MG51506,Betioky Atsimo,District,MG51506130,Ankazombalala
MG,Madagascar,MG51,Atsimo Andrefana,MG51506,Betioky Atsimo,District,MG51506150,Bezaha
MG,Madagascar,MG51,Atsimo Andrefana,MG51506,Betioky Atsimo,District,MG51506170,Manalobe
MG,Madagascar,MG51,Atsimo Andrefana,MG51506,Betioky Atsimo,District,MG51506191,Andranomangatsiaka
MG,Madagascar,MG51,Atsimo Andrefana,MG51507,Ampanihy Ouest,District,MG51507030,Ankiliabo
MG,Madagascar,MG51,Atsimo Andrefana,MG51507,Ampanihy Ouest,District,MG51507050,Amborompotsy
MG,Madagascar,MG51,Atsimo Andrefana,MG51507,Ampanihy Ouest,District,MG51507070,Ankilizato
MG,Madagascar,MG51,Atsimo Andrefana,MG51506,Betioky Atsimo,District,MG51506192,Ankilivalo
MG,Madagascar,MG51,Atsimo Andrefana,MG51506,Betioky Atsimo,District,MG51506210,Soamanonga
MG,Madagascar,MG51,Atsimo Andrefana,MG51506,Betioky Atsimo,District,MG51506230,Fenoandala
MG,Madagascar,MG51,Atsimo Andrefana,MG51506,Betioky Atsimo,District,MG51506251,Soaserana
MG,Madagascar,MG51,Atsimo Andrefana,MG51506,Betioky Atsimo,District,MG51506252,Marosavoa
MG,Madagascar,MG51,Atsimo Andrefana,MG51506,Betioky Atsimo,District,MG51506270,Salobe
MG,Madagascar,MG51,Atsimo Andrefana,MG51506,Betioky Atsimo,District,MG51506290,Tanambao Haut
MG,Madagascar,MG51,Atsimo Andrefana,MG51506,Betioky Atsimo,District,MG51506311,Belamoty
MG,Madagascar,MG51,Atsimo Andrefana,MG51506,Betioky Atsimo,District,MG51506312,Antsavoa
MG,Madagascar,MG51,Atsimo Andrefana,MG51506,Betioky Atsimo,District,MG51506313,Montifeno
MG,Madagascar,MG51,Atsimo Andrefana,MG51506,Betioky Atsimo,District,MG51506330,Lazarivo
MG,Madagascar,MG51,Atsimo Andrefana,MG51507,Ampanihy Ouest,District,MG51507010,Ampanihy Ouest
MG,Madagascar,MG51,Atsimo Andrefana,MG51507,Ampanihy Ouest,District,MG51507090,Maniry
MG,Madagascar,MG51,Atsimo Andrefana,MG51507,Ampanihy Ouest,District,MG51507110,Antaly
MG,Madagascar,MG51,Atsimo Andrefana,MG51507,Ampanihy Ouest,District,MG51507130,Ankilimivory
MG,Madagascar,MG51,Atsimo Andrefana,MG51507,Ampanihy Ouest,District,MG51507150,Ejeda
MG,Madagascar,MG51,Atsimo Andrefana,MG51507,Ampanihy Ouest,District,MG51507170,Belafike Haut
MG,Madagascar,MG51,Atsimo Andrefana,MG51507,Ampanihy Ouest,District,MG51507190,Beahitse
MG,Madagascar,MG51,Atsimo Andrefana,MG51507,Ampanihy Ouest,District,MG51507210,Gogogogo
MG,Madagascar,MG51,Atsimo Andrefana,MG51507,Ampanihy Ouest,District,MG51507230,Androka
MG,Madagascar,MG51,Atsimo Andrefana,MG51507,Ampanihy Ouest,District,MG51507250,Vohitany
MG,Madagascar,MG51,Atsimo Andrefana,MG51507,Ampanihy Ouest,District,MG51507270,Beroy Atsimo
MG,Madagascar,MG51,Atsimo Andrefana,MG51507,Ampanihy Ouest,District,MG51507290,Fotadrevo
MG,Madagascar,MG51,Atsimo Andrefana,MG51507,Ampanihy Ouest,District,MG51507310,Itampolo
MG,Madagascar,MG51,Atsimo Andrefana,MG51512,Sakaraha,District,MG51512011,Sakaraha
MG,Madagascar,MG51,Atsimo Andrefana,MG51512,Sakaraha,District,MG51512012,Miary Taheza
MG,Madagascar,MG51,Atsimo Andrefana,MG51512,Sakaraha,District,MG51512030,Miary Lamatihy
MG,Madagascar,MG51,Atsimo Andrefana,MG51512,Sakaraha,District,MG51512050,Mahaboboka
MG,Madagascar,MG51,Atsimo Andrefana,MG51512,Sakaraha,District,MG51512070,Amboronabo
MG,Madagascar,MG51,Atsimo Andrefana,MG51512,Sakaraha,District,MG51512090,Bereketa
MG,Madagascar,MG51,Atsimo Andrefana,MG51512,Sakaraha,District,MG51512111,Andamasiny Vineta
MG,Madagascar,MG51,Atsimo Andrefana,MG51512,Sakaraha,District,MG51512112,Mihavatsy
MG,Madagascar,MG51,Atsimo Andrefana,MG51512,Sakaraha,District,MG51512130,Andranolava
MG,Madagascar,MG51,Atsimo Andrefana,MG51512,Sakaraha,District,MG51512150,Ambinany
MG,Madagascar,MG51,Atsimo Andrefana,MG51512,Sakaraha,District,MG51512171,Mikoboka
MG,Madagascar,MG51,Atsimo Andrefana,MG51512,Sakaraha,District,MG51512172,Mitsinjo
MG,Madagascar,MG51,Atsimo Andrefana,MG51520,Toliary-II,District,MG51520010,Mitsinjo Betanimena
MG,Madagascar,MG51,Atsimo Andrefana,MG51520,Toliary-II,District,MG51520030,Belalanda
MG,Madagascar,MG51,Atsimo Andrefana,MG51520,Toliary-II,District,MG51520050,Betsinjaka
MG,Madagascar,MG51,Atsimo Andrefana,MG51520,Toliary-II,District,MG51520071,Miary Ambohibola
MG,Madagascar,MG51,Atsimo Andrefana,MG51520,Toliary-II,District,MG51520072,Behompy
MG,Madagascar,MG51,Atsimo Andrefana,MG51520,Toliary-II,District,MG51520090,Maromiandra
MG,Madagascar,MG51,Atsimo Andrefana,MG51520,Toliary-II,District,MG51520111,Ambohimahavelona
MG,Madagascar,MG51,Atsimo Andrefana,MG51520,Toliary-II,District,MG51520112,Andranohinaly
MG,Madagascar,MG51,Atsimo Andrefana,MG51520,Toliary-II,District,MG51520131,Saint Augustin
MG,Madagascar,MG51,Atsimo Andrefana,MG51520,Toliary-II,District,MG51520132,Anakao
MG,Madagascar,MG51,Atsimo Andrefana,MG51520,Toliary-II,District,MG51520133,Soalara Sud
MG,Madagascar,MG51,Atsimo Andrefana,MG51520,Toliary-II,District,MG51520150,Ambolofoty
MG,Madagascar,MG51,Atsimo Andrefana,MG51520,Toliary-II,District,MG51520170,Ankilimalinike
MG,Madagascar,MG51,Atsimo Andrefana,MG51520,Toliary-II,District,MG51520191,Antanimena Onilahy
MG,Madagascar,MG51,Atsimo Andrefana,MG51520,Toliary-II,District,MG51520192,Manorofify
MG,Madagascar,MG51,Atsimo Andrefana,MG51520,Toliary-II,District,MG51520210,Marofoty
MG,Madagascar,MG51,Atsimo Andrefana,MG51520,Toliary-II,District,MG51520230,Tsianisiha
MG,Madagascar,MG51,Atsimo Andrefana,MG51520,Toliary-II,District,MG51520250,Manombo Sud
MG,Madagascar,MG51,Atsimo Andrefana,MG51520,Toliary-II,District,MG51520270,Andranovory
MG,Madagascar,MG51,Atsimo Andrefana,MG51520,Toliary-II,District,MG51520290,Milenaka
MG,Madagascar,MG51,Atsimo Andrefana,MG51520,Toliary-II,District,MG51520310,Ankililoaka
MG,Madagascar,MG51,Atsimo Andrefana,MG51520,Toliary-II,District,MG51520330,Analamisampy
MG,Madagascar,MG51,Atsimo Andrefana,MG51520,Toliary-II,District,MG51520358,Beheloka
MG,Madagascar,MG51,Atsimo Andrefana,MG51521,Benenitra,District,MG51521010,Benenitra
MG,Madagascar,MG51,Atsimo Andrefana,MG51521,Benenitra,District,MG51521031,Ianapera
MG,Madagascar,MG51,Atsimo Andrefana,MG51521,Benenitra,District,MG51521032,Ambalavato
MG,Madagascar,MG51,Atsimo Andrefana,MG51521,Benenitra,District,MG51521050,Ehara
MG,Madagascar,MG52,Androy,MG52513,Beloha,District,MG52513010,Beloha
MG,Madagascar,MG52,Androy,MG52513,Beloha,District,MG52513030,Tranovaho
MG,Madagascar,MG52,Androy,MG52513,Beloha,District,MG52513050,Kopoky
MG,Madagascar,MG52,Androy,MG52513,Beloha,District,MG52513070,Marolinta
MG,Madagascar,MG52,Androy,MG52513,Beloha,District,MG52513091,Tranoroa
MG,Madagascar,MG52,Androy,MG52513,Beloha,District,MG52513092,Behabobo
MG,Madagascar,MG52,Androy,MG52514,Tsihombe,District,MG52514011,Tsihombe
MG,Madagascar,MG52,Androy,MG52514,Tsihombe,District,MG52514012,Nikoly
MG,Madagascar,MG52,Androy,MG52514,Tsihombe,District,MG52514031,Betanty (Faux Cap)
MG,Madagascar,MG52,Androy,MG52514,Tsihombe,District,MG52514032,Anjampaly
MG,Madagascar,MG52,Androy,MG52514,Tsihombe,District,MG52514050,Marovato
MG,Madagascar,MG52,Androy,MG52514,Tsihombe,District,MG52514071,Antaritarika
MG,Madagascar,MG52,Androy,MG52514,Tsihombe,District,MG52514072,Imongy
MG,Madagascar,MG52,Androy,MG52516,Ambovombe-Androy,District,MG52516011,Ambovombe
MG,Madagascar,MG52,Androy,MG52516,Ambovombe-Androy,District,MG52516012,Tsimananada
MG,Madagascar,MG52,Androy,MG52516,Ambovombe-Androy,District,MG52516013,Erada
MG,Madagascar,MG52,Androy,MG52516,Ambovombe-Androy,District,MG52516014,Anjeky Ankilikira
MG,Madagascar,MG52,Androy,MG52516,Ambovombe-Androy,District,MG52516031,Ambanisarika
MG,Madagascar,MG52,Androy,MG52516,Ambovombe-Androy,District,MG52516032,Analamary
MG,Madagascar,MG52,Androy,MG52516,Ambovombe-Androy,District,MG52516033,Ambohimalaza
MG,Madagascar,MG52,Androy,MG52516,Ambovombe-Androy,District,MG52516050,Ambonaivo
MG,Madagascar,MG52,Androy,MG52516,Ambovombe-Androy,District,MG52516071,Maroalomainty
MG,Madagascar,MG52,Androy,MG52516,Ambovombe-Androy,District,MG52516072,Maroalopoty
MG,Madagascar,MG52,Androy,MG52516,Ambovombe-Androy,District,MG52516091,Ambondro
MG,Madagascar,MG52,Androy,MG52516,Ambovombe-Androy,District,MG52516092,Ambazoa
MG,Madagascar,MG52,Androy,MG52516,Ambovombe-Androy,District,MG52516111,Sihanamaro
MG,Madagascar,MG52,Androy,MG52516,Ambovombe-Androy,District,MG52516112,Marovato Befeno
MG,Madagascar,MG52,Androy,MG52516,Ambovombe-Androy,District,MG52516130,Antanimora Atsimo
MG,Madagascar,MG52,Androy,MG52516,Ambovombe-Androy,District,MG52516151,Andalatanosy
MG,Madagascar,MG52,Androy,MG52516,Ambovombe-Androy,District,MG52516152,Ampamata
MG,Madagascar,MG52,Androy,MG52516,Ambovombe-Androy,District,MG52516170,Jafaro
MG,Madagascar,MG52,Androy,MG52516,Ambovombe-Androy,District,MG52516190,Imanombo
MG,Madagascar,MG52,Androy,MG52518,Bekily,District,MG52518010,Morafeno Bekily
MG,Madagascar,MG52,Androy,MG52518,Bekily,District,MG52518031,Ankaranabo Nord
MG,Madagascar,MG52,Androy,MG52518,Bekily,District,MG52518032,Besakoa
MG,Madagascar,MG52,Androy,MG52518,Bekily,District,MG52518050,Anja Nord
MG,Madagascar,MG52,Androy,MG52518,Bekily,District,MG52518070,Antsakoamaro
MG,Madagascar,MG52,Androy,MG52518,Bekily,District,MG52518091,Ambatosola
MG,Madagascar,MG52,Androy,MG52518,Bekily,District,MG52518092,Tsirandrany
MG,Madagascar,MG52,Androy,MG52518,Bekily,District,MG52518110,Tsikolaky
MG,Madagascar,MG52,Androy,MG52518,Bekily,District,MG52518130,Manakompy
MG,Madagascar,MG52,Androy,MG52518,Bekily,District,MG52518151,Ambahita
MG,Madagascar,MG52,Androy,MG52518,Bekily,District,MG52518152,Maroviro
MG,Madagascar,MG52,Androy,MG52518,Bekily,District,MG52518170,Belindo Mahasoa
MG,Madagascar,MG52,Androy,MG52518,Bekily,District,MG52518190,Beteza
MG,Madagascar,MG52,Androy,MG52518,Bekily,District,MG52518210,Tanandava
MG,Madagascar,MG52,Androy,MG52518,Bekily,District,MG52518230,Bekitro
MG,Madagascar,MG52,Androy,MG52518,Bekily,District,MG52518251,Beraketa
MG,Madagascar,MG52,Androy,MG52518,Bekily,District,MG52518252,Vohimanga
MG,Madagascar,MG52,Androy,MG52518,Bekily,District,MG52518270,Bevitiky
MG,Madagascar,MG52,Androy,MG52518,Bekily,District,MG52518290,Anivorano Mitsinjo
MG,Madagascar,MG53,Anosy,MG53515,Taolagnaro,District,MG53515010,Fort-Dauphin
MG,Madagascar,MG53,Anosy,MG53515,Taolagnaro,District,MG53515031,Ampasy Nahampoana
MG,Madagascar,MG53,Anosy,MG53515,Taolagnaro,District,MG53515032,Mandromondromotra
MG,Madagascar,MG53,Anosy,MG53515,Taolagnaro,District,MG53515033,Soanierana
MG,Madagascar,MG53,Anosy,MG53515,Taolagnaro,District,MG53515051,Ifarantsa
MG,Madagascar,MG53,Anosy,MG53515,Taolagnaro,District,MG53515052,Isaka-Ivondro
MG,Madagascar,MG53,Anosy,MG53515,Taolagnaro,District,MG53515053,Mandiso
MG,Madagascar,MG53,Anosy,MG53515,Taolagnaro,District,MG53515071,Manambaro
MG,Madagascar,MG53,Anosy,MG53515,Taolagnaro,District,MG53515072,Sarisambo
MG,Madagascar,MG53,Anosy,MG53515,Taolagnaro,District,MG53515090,Ankaramena
MG,Madagascar,MG53,Anosy,MG53515,Taolagnaro,District,MG53515111,Ranopiso
MG,Madagascar,MG53,Anosy,MG53515,Taolagnaro,District,MG53515112,Ambatoabo
MG,Madagascar,MG53,Anosy,MG53515,Taolagnaro,District,MG53515113,Ankariera
MG,Madagascar,MG53,Anosy,MG53515,Taolagnaro,District,MG53515114,Analapatsy
MG,Madagascar,MG53,Anosy,MG53515,Taolagnaro,District,MG53515115,Andranobory
MG,Madagascar,MG53,Anosy,MG53515,Taolagnaro,District,MG53515131,Mahatalaky
MG,Madagascar,MG53,Anosy,MG53515,Taolagnaro,District,MG53515132,Iaboakoho
MG,Madagascar,MG53,Anosy,MG53515,Taolagnaro,District,MG53515151,Enaniliha
MG,Madagascar,MG53,Anosy,MG53515,Taolagnaro,District,MG53515152,Fenoevo-Efita
MG,Madagascar,MG53,Anosy,MG53515,Taolagnaro,District,MG53515170,Enakara-Haut
MG,Madagascar,MG53,Anosy,MG53515,Taolagnaro,District,MG53515191,Ranomafana
MG,Madagascar,MG53,Anosy,MG53515,Taolagnaro,District,MG53515192,Emagnobo
MG,Madagascar,MG53,Anosy,MG53515,Taolagnaro,District,MG53515210,Bevoay
MG,Madagascar,MG53,Anosy,MG53515,Taolagnaro,District,MG53515230,Ampasimena
MG,Madagascar,MG53,Anosy,MG53515,Taolagnaro,District,MG53515251,Manantenina
MG,Madagascar,MG53,Anosy,MG53515,Taolagnaro,District,MG53515252,Analamary
MG,Madagascar,MG53,Anosy,MG53515,Taolagnaro,District,MG53515253,Soavary
MG,Madagascar,MG53,Anosy,MG53517,Betroka,District,MG53517010,Betroka
MG,Madagascar,MG53,Anosy,MG53517,Betroka,District,MG53517030,Tsaraitso
MG,Madagascar,MG53,Anosy,MG53517,Betroka,District,MG53517050,Naninora
MG,Madagascar,MG53,Anosy,MG53517,Betroka,District,MG53517070,Ambalasoa
MG,Madagascar,MG53,Anosy,MG53517,Betroka,District,MG53517090,Ivahona
MG,Madagascar,MG53,Anosy,MG53517,Betroka,District,MG53517110,Analamary
MG,Madagascar,MG53,Anosy,MG53517,Betroka,District,MG53517130,Ianabinda
MG,Madagascar,MG53,Anosy,MG53517,Betroka,District,MG53517150,Benato Toby
MG,Madagascar,MG53,Anosy,MG53517,Betroka,District,MG53517170,Mahabo
MG,Madagascar,MG53,Anosy,MG53517,Betroka,District,MG53517190,Beampombo I
MG,Madagascar,MG53,Anosy,MG53517,Betroka,District,MG53517210,Jangany
MG,Madagascar,MG53,Anosy,MG53517,Betroka,District,MG53517230,Mahasoa Est
MG,Madagascar,MG53,Anosy,MG53517,Betroka,District,MG53517250,Bekorobo
MG,Madagascar,MG53,Anosy,MG53517,Betroka,District,MG53517270,Iaborotra
MG,Madagascar,MG53,Anosy,MG53517,Betroka,District,MG53517291,Isoanala
MG,Madagascar,MG53,Anosy,MG53517,Betroka,District,MG53517292,Beampombo II
MG,Madagascar,MG53,Anosy,MG53517,Betroka,District,MG53517293,Nanarena Besakoa
MG,Madagascar,MG53,Anosy,MG53517,Betroka,District,MG53517310,Ianakafy
MG,Madagascar,MG53,Anosy,MG53517,Betroka,District,MG53517331,Andriandampy
MG,Madagascar,MG53,Anosy,MG53517,Betroka,District,MG53517332,Sakamahily
MG,Madagascar,MG53,Anosy,MG53517,Betroka,District,MG53517350,Ambatomivary
MG,Madagascar,MG53,Anosy,MG53519,Amboasary-Atsimo,District,MG53519010,Amboasary Atsimo
MG,Madagascar,MG53,Anosy,MG53519,Amboasary-Atsimo,District,MG53519030,Behara
MG,Madagascar,MG53,Anosy,MG53519,Amboasary-Atsimo,District,MG53519050,Tanandava Sud
MG,Madagascar,MG53,Anosy,MG53519,Amboasary-Atsimo,District,MG53519070,Sampona
MG,Madagascar,MG53,Anosy,MG53519,Amboasary-Atsimo,District,MG53519090,Ifotaka
MG,Madagascar,MG53,Anosy,MG53519,Amboasary-Atsimo,District,MG53519110,Tranomaro
MG,Madagascar,MG53,Anosy,MG53519,Amboasary-Atsimo,District,MG53519130,Maromby
MG,Madagascar,MG53,Anosy,MG53519,Amboasary-Atsimo,District,MG53519150,Elonty
MG,Madagascar,MG53,Anosy,MG53519,Amboasary-Atsimo,District,MG53519170,Esira
MG,Madagascar,MG53,Anosy,MG53519,Amboasary-Atsimo,District,MG53519190,Mahaly
MG,Madagascar,MG53,Anosy,MG53519,Amboasary-Atsimo,District,MG53519210,Manevy
MG,Madagascar,MG53,Anosy,MG53519,Amboasary-Atsimo,District,MG53519230,Tsivory
MG,Madagascar,MG53,Anosy,MG53519,Amboasary-Atsimo,District,MG53519250,Marotsiraka
MG,Madagascar,MG53,Anosy,MG53519,Amboasary-Atsimo,District,MG53519270,Tomboarivo
MG,Madagascar,MG53,Anosy,MG53519,Amboasary-Atsimo,District,MG53519291,Ebelo
MG,Madagascar,MG53,Anosy,MG53519,Amboasary-Atsimo,District,MG53519292,Ranobe
MG,Madagascar,MG54,Menabe,MG54502,Manja,District,MG54502010,Manja
MG,Madagascar,MG54,Menabe,MG54502,Manja,District,MG54502030,Beharona
MG,Madagascar,MG54,Menabe,MG54502,Manja,District,MG54502050,Anontsibe Centre
MG,Madagascar,MG54,Menabe,MG54502,Manja,District,MG54502070,Soaserana
MG,Madagascar,MG54,Menabe,MG54502,Manja,District,MG54502090,Ankiliabo
MG,Madagascar,MG54,Menabe,MG54502,Manja,District,MG54502110,Andranopasy
MG,Madagascar,MG54,Menabe,MG54508,Morondava,District,MG54508010,Morondava
MG,Madagascar,MG54,Menabe,MG54508,Morondava,District,MG54508059,Bemanonga
MG,Madagascar,MG54,Menabe,MG54508,Morondava,District,MG54508079,Analaiva
MG,Madagascar,MG54,Menabe,MG54508,Morondava,District,MG54508159,Befasy
MG,Madagascar,MG54,Menabe,MG54508,Morondava,District,MG54508179,Belo Sur Mer
MG,Madagascar,MG54,Menabe,MG54509,Mahabo,District,MG54509010,Mahabo
MG,Madagascar,MG54,Menabe,MG54509,Mahabo,District,MG54509030,Ankilivalo
MG,Madagascar,MG54,Menabe,MG54509,Mahabo,District,MG54509051,Analamitsivalana
MG,Madagascar,MG54,Menabe,MG54509,Mahabo,District,MG54509052,Befotaka
MG,Madagascar,MG54,Menabe,MG54509,Mahabo,District,MG54509070,Ampanihy
MG,Madagascar,MG54,Menabe,MG54509,Mahabo,District,MG54509091,Ankilizato
MG,Madagascar,MG54,Menabe,MG54509,Mahabo,District,MG54509092,Ambia
MG,Madagascar,MG54,Menabe,MG54509,Mahabo,District,MG54509110,Mandabe
MG,Madagascar,MG54,Menabe,MG54509,Mahabo,District,MG54509130,Malaimbandy
MG,Madagascar,MG54,Menabe,MG54509,Mahabo,District,MG54509150,Beronono
MG,Madagascar,MG54,Menabe,MG54509,Mahabo,District,MG54509170,Mazavasoa
MG,Madagascar,MG54,Menabe,MG54510,Belo Sur Tsiribihina,District,MG54510011,Belo Sur Tsiribihina
MG,Madagascar,MG54,Menabe,MG54510,Belo Sur Tsiribihina,District,MG54510012,Andimaky Manambolo
MG,Madagascar,MG54,Menabe,MG54510,Belo Sur Tsiribihina,District,MG54510013,Bemarivo Ankirondro
MG,Madagascar,MG54,Menabe,MG54510,Belo Sur Tsiribihina,District,MG54510031,Tsimafana
MG,Madagascar,MG54,Menabe,MG54510,Belo Sur Tsiribihina,District,MG54510032,Beroboka Nord
MG,Madagascar,MG54,Menabe,MG54510,Belo Sur Tsiribihina,District,MG54510050,Tsaraotana
MG,Madagascar,MG54,Menabe,MG54510,Belo Sur Tsiribihina,District,MG54510070,Masoarivo
MG,Madagascar,MG54,Menabe,MG54510,Belo Sur Tsiribihina,District,MG54510090,Aboalimena
MG,Madagascar,MG54,Menabe,MG54510,Belo Sur Tsiribihina,District,MG54510111,Ankalalobe
MG,Madagascar,MG54,Menabe,MG54510,Belo Sur Tsiribihina,District,MG54510112,Ambiky
MG,Madagascar,MG54,Menabe,MG54510,Belo Sur Tsiribihina,District,MG54510131,Berevo
